Codes,Site Name,Depot
80345,AL AHMED PETROLEUM SERVICES,Shikarpur
80345,AL AHMED PETROLEUM SERVICES,Dolatpur
80345,AL AHMED PETROLEUM SERVICES,Mehmoodkot
80346,ASHRAF AZAM PETROLEUM SERVICES,Shikarpur
80346,ASHRAF AZAM PETROLEUM SERVICES,Dolatpur
80346,ASHRAF AZAM PETROLEUM SERVICES,Mehmoodkot
80349,SUPER ASHRAF PETROLEUM SERVICE,Shikarpur
80349,SUPER ASHRAF PETROLEUM SERVICE,Dolatpur
80349,SUPER ASHRAF PETROLEUM SERVICE,Mehmoodkot
80350,NARI FILLING STATION,Gatti
80350,NARI FILLING STATION,Machikey
80350,NARI FILLING STATION,Mehmoodkot
80351,NEW IQBAL FILLING STATION,Gatti
80351,NEW IQBAL FILLING STATION,Machikey
80351,NEW IQBAL FILLING STATION,Mehmoodkot
80352,LANDI ARBAB FILLING STATION,Taru jabba
80353,AMIR PETROLEUM,Mehmoodkot
80353,AMIR PETROLEUM,Parco
80357,ZIA & ZAKA FILLING STATION,Mehmoodkot
80357,ZIA & ZAKA FILLING STATION,Parco
80358,AKRAM FILLING STATION,Mehmoodkot
80358,AKRAM FILLING STATION,Parco
80360,INDUS PETROLEUM,Jaglot
80361,SUPER MIANWALI FILLING STATION,Shikarpur
80361,SUPER MIANWALI FILLING STATION,Dolatpur
80361,SUPER MIANWALI FILLING STATION,Mehmoodkot
80362,ALI RAZA FILLING STATION,Shikarpur
80362,ALI RAZA FILLING STATION,Dolatpur
80362,ALI RAZA FILLING STATION,Mehmoodkot
80363,ASHRAF FILLING STATION,Shikarpur
80363,ASHRAF FILLING STATION,Dolatpur
80363,ASHRAF FILLING STATION,Mehmoodkot
80364,FARM FUELS,Chakpirana
80364,FARM FUELS,Machikey
80368,BILAL HAIDER PETROLEUM SERVICES,Vihari
80368,BILAL HAIDER PETROLEUM SERVICES,Mehmoodkot
80380,ADEEL FILLING STATION,Shikarpur
80380,ADEEL FILLING STATION,Dolatpur
80380,ADEEL FILLING STATION,Mehmoodkot
80389,ALI SYED FILLING STATION,Mehmoodkot
80389,ALI SYED FILLING STATION,Parco
80391,MOUSA KHEL FILLING STATION,Vihari
80391,MOUSA KHEL FILLING STATION,Mehmoodkot
80395,IMRAN PETROLEUM,Machikey
80395,IMRAN PETROLEUM,Chakpirana
80397,INSHAF WAZIRISTAN PETROLEUM SERVICE,Mehmoodkot
80397,INSHAF WAZIRISTAN PETROLEUM SERVICE,Parco
80413,PALARI FILLING STATION,Kemari
80413,PALARI FILLING STATION,Refinery
80413,PALARI FILLING STATION,Port Qasim
80414,AIJAZ PETROLEUM SERVICE,Shikarpur
80414,AIJAZ PETROLEUM SERVICE,Dolatpur
80414,AIJAZ PETROLEUM SERVICE,Mehmoodkot
80417,KHAN PETROLEUM SERVICES,Vihari
80417,KHAN PETROLEUM SERVICES,Mehmoodkot
80418,AZEEM FILLING STATION,Sihala
80421,ITTEFAQ FILLING STATION,Mehmoodkot
80421,ITTEFAQ FILLING STATION,Parco
80422,NAYYAB PETROLEUM,Gatti
80422,NAYYAB PETROLEUM,Machikey
80422,NAYYAB PETROLEUM,Mehmoodkot
80428,ADNAN FILLING STATION,Sihala
80429,FAYAKOON FILLING STATION,Shikarpur
80429,FAYAKOON FILLING STATION,Dolatpur
80429,FAYAKOON FILLING STATION,Mehmoodkot
